dev,singletons,controls,offset
95.39648813460008,12388911,61944683,214
113.46873549865632,12388929,61944725,-214
109.5151197329651,12388911,61944682,215
129.95567172023766,12388930,61944726,-215
160.94656036239212,12388913,61944677,216
125.22150468007567,12388931,61944721,-216
103.23268534880663,12388911,61944679,217
106.7293671462412,12388929,61944720,-217
104.89939703454002,12388912,61944674,218
113.13551231199926,12388931,61944722,-218
102.47520731326313,12388912,61944681,219
98.3945148201883,12388931,61944718,-219
58.787042089963506,12388913,61944677,220
76.44113007732813,12388931,61944717,-220
64.15391605298828,12388912,61944680,221
71.25834529742679,12388930,61944718,-221
95.50545702001182,12388912,61944675,222
90.95434066125381,12388930,61944716,-222
76.96701953856427,12388911,61944677,223
73.30926396120594,12388925,61944713,-223
54.814852458231144,12388913,61944675,224
55.02059803892553,12388923,61944712,-224
50.93547986273643,12388912,61944673,225
52.381670878770365,12388921,61944712,-225
81.80898739545592,12388912,61944671,226
80.63584444433764,12388922,61944706,-226
80.73612956387115,12388912,61944665,227
73.65183326466013,12388921,61944713,-227
56.752276956262904,12388912,61944663,228
113.20127856924591,12388921,61944712,-228
86.12779599329406,12388913,61944664,229
43.425465321686715,12388920,61944711,-229
62.84350169185018,12388912,61944662,230
57.64602389205902,12388918,61944714,-230
33.04931226214467,12388912,61944660,231
61.324074731835935,12388917,61944714,-231
52.045677814108785,12388913,61944662,232
58.36443440197036,12388919,61944711,-232
47.74229262209337,12388913,61944659,233
51.79196665935706,12388919,61944710,-233
37.16819794199,12388913,61944656,234
47.45414554956915,12388919,61944710,-234
71.66170649415108,12388913,61944653,235
31.56905753459614,12388914,61944710,-235
47.716470351676435,12388913,61944647,236
24.475910217855017,12388916,61944708,-236
49.125987307003015,12388912,61944645,237
90.22941049556903,12388916,61944707,-237
65.84537419951994,12388910,61944643,238
61.516787548509456,12388917,61944709,-238
45.63839721040222,12388911,61944638,239
42.58286532639431,12388916,61944705,-239
39.612395666458724,12388913,61944634,240
38.33750904664157,12388917,61944708,-240
50.61162858563148,12388910,61944634,241
56.03408527897045,12388913,61944701,-241
56.529901115333814,12388910,61944631,242
60.311230343200805,12388915,61944704,-242
47.449108409233304,12388911,61944628,243
49.99505707692242,12388915,61944702,-243
48.005490269662914,12388911,61944633,244
34.46526898663251,12388916,61944699,-244
48.139785899666094,12388911,61944627,245
32.92190780958481,12388915,61944697,-245
89.8769842633892,12388910,61944626,246
47.90075560475725,12388916,61944699,-246
35.43339420289567,12388911,61944628,247
31.992925078774533,12388915,61944695,-247
40.657306712813806,12388910,61944627,248
41.08607907107671,12388914,61944691,-248
20.986664175300348,12388910,61944623,249
